Date,Time,c02,temperature
10/3/2004,18.00.00,150,113
10/3/2004,19.00.00,112,92
10/3/2004,20.00.00,88,114
10/3/2004,21.00.00,80,122
10/3/2004,22.00.00,51,116
10/3/2004,23.00.00,38,96
11/3/2004,00.00.00,31,77
11/3/2004,01.00.00,31,76
11/3/2004,02.00.00,24,60
11/3/2004,03.00.00,19,-200
11/3/2004,04.00.00,14,34
11/3/2004,05.00.00,8,28
11/3/2004,06.00.00,16,48
11/3/2004,07.00.00,29,82
11/3/2004,08.00.00,64,112
11/3/2004,09.00.00,87,101
11/3/2004,10.00.00,77,98
11/3/2004,11.00.00,43,92
11/3/2004,12.00.00,61,95
11/3/2004,13.00.00,63,112
11/3/2004,14.00.00,164,128
11/3/2004,15.00.00,79,126
11/3/2004,16.00.00,95,131
11/3/2004,17.00.00,150,135
11/3/2004,18.00.00,307,151
11/3/2004,19.00.00,461,172
11/3/2004,20.00.00,401,165
11/3/2004,21.00.00,197,136
11/3/2004,22.00.00,61,85
11/3/2004,23.00.00,26,53
12/3/2004,00.00.00,55,97
12/3/2004,01.00.00,53,110
12/3/2004,02.00.00,40,91
12/3/2004,03.00.00,21,-200
12/3/2004,04.00.00,10,32
12/3/2004,05.00.00,7,44
12/3/2004,06.00.00,17,71
12/3/2004,07.00.00,33,104
12/3/2004,08.00.00,202,141
12/3/2004,09.00.00,-200,-200
12/3/2004,10.00.00,208,122
12/3/2004,11.00.00,166,143
12/3/2004,12.00.00,114,113
12/3/2004,13.00.00,140,116
12/3/2004,14.00.00,169,123
12/3/2004,15.00.00,185,126
12/3/2004,16.00.00,165,120
12/3/2004,17.00.00,133,119
12/3/2004,18.00.00,233,149
12/3/2004,19.00.00,242,145
12/3/2004,20.00.00,488,170
12/3/2004,21.00.00,333,149
12/3/2004,22.00.00,215,139
12/3/2004,23.00.00,367,134
13/03/2004,00.00.00,122,113
13/03/2004,01.00.00,67,97
13/03/2004,02.00.00,43,82
13/03/2004,03.00.00,46,-200
13/03/2004,04.00.00,56,83
13/03/2004,05.00.00,30,65
13/03/2004,06.00.00,27,60
13/03/2004,07.00.00,47,77
13/03/2004,08.00.00,132,96
13/03/2004,09.00.00,239,119
13/03/2004,10.00.00,160,126
13/03/2004,11.00.00,283,158
13/03/2004,12.00.00,210,161
13/03/2004,13.00.00,154,124
13/03/2004,14.00.00,112,102
13/03/2004,15.00.00,108,116
13/03/2004,16.00.00,111,124
13/03/2004,17.00.00,97,125
13/03/2004,18.00.00,191,148
13/03/2004,19.00.00,258,165
13/03/2004,20.00.00,284,161
13/03/2004,21.00.00,269,159
13/03/2004,22.00.00,180,143
13/03/2004,23.00.00,116,130
14/03/2004,00.00.00,93,129
14/03/2004,01.00.00,131,119
14/03/2004,02.00.00,92,104
14/03/2004,03.00.00,132,-200
14/03/2004,04.00.00,56,82
14/03/2004,05.00.00,32,70
14/03/2004,06.00.00,29,63
14/03/2004,07.00.00,27,67
14/03/2004,08.00.00,36,84
14/03/2004,09.00.00,57,83
14/03/2004,10.00.00,129,98
14/03/2004,11.00.00,148,114
14/03/2004,12.00.00,145,119
14/03/2004,13.00.00,93,104
14/03/2004,14.00.00,84,102
14/03/2004,15.00.00,99,107
14/03/2004,16.00.00,150,129
14/03/2004,17.00.00,156,128
14/03/2004,18.00.00,122,121
14/03/2004,19.00.00,262,157
14/03/2004,20.00.00,341,173
14/03/2004,21.00.00,214,146
14/03/2004,22.00.00,100,121
14/03/2004,23.00.00,79,119
15/03/2004,00.00.00,66,99
15/03/2004,01.00.00,73,93
15/03/2004,02.00.00,66,88
15/03/2004,03.00.00,44,-200
15/03/2004,04.00.00,44,71
15/03/2004,05.00.00,39,74
15/03/2004,06.00.00,51,80
15/03/2004,07.00.00,107,89
15/03/2004,08.00.00,336,114
15/03/2004,09.00.00,618,149
15/03/2004,10.00.00,438,157
15/03/2004,11.00.00,334,155
15/03/2004,12.00.00,221,134
15/03/2004,13.00.00,207,119
15/03/2004,14.00.00,191,111
15/03/2004,15.00.00,185,104
15/03/2004,16.00.00,141,99
15/03/2004,17.00.00,214,110
15/03/2004,18.00.00,471,162
15/03/2004,19.00.00,685,187
15/03/2004,20.00.00,538,165
15/03/2004,21.00.00,319,145
15/03/2004,22.00.00,224,125
15/03/2004,23.00.00,67,101
16/03/2004,00.00.00,155,103
16/03/2004,01.00.00,49,88
16/03/2004,02.00.00,29,61
16/03/2004,03.00.00,25,-200
16/03/2004,04.00.00,25,59
16/03/2004,05.00.00,17,52
16/03/2004,06.00.00,27,64
16/03/2004,07.00.00,50,70
16/03/2004,08.00.00,218,97
16/03/2004,09.00.00,285,95
16/03/2004,10.00.00,437,150
16/03/2004,11.00.00,327,162
16/03/2004,12.00.00,283,154
16/03/2004,13.00.00,366,161
16/03/2004,14.00.00,318,161
16/03/2004,15.00.00,228,128
16/03/2004,16.00.00,201,129
16/03/2004,17.00.00,199,133
16/03/2004,18.00.00,237,139
16/03/2004,19.00.00,261,137
16/03/2004,20.00.00,230,143
16/03/2004,21.00.00,349,177
16/03/2004,22.00.00,183,138
16/03/2004,23.00.00,88,117
17/03/2004,00.00.00,85,107
17/03/2004,01.00.00,47,90
17/03/2004,02.00.00,34,79
17/03/2004,03.00.00,26,-200
17/03/2004,04.00.00,17,60
17/03/2004,05.00.00,11,40
17/03/2004,06.00.00,18,53
17/03/2004,07.00.00,84,84
17/03/2004,08.00.00,260,108
17/03/2004,09.00.00,534,127
17/03/2004,10.00.00,368,134
17/03/2004,11.00.00,200,135
17/03/2004,12.00.00,145,142
17/03/2004,13.00.00,188,153
17/03/2004,14.00.00,152,123
17/03/2004,15.00.00,103,104
17/03/2004,16.00.00,193,129
